CustomerID,Gender
109318,Unknown
993229,Unknown
579675,Unknown
799826,Unknown
121413,Unknown
463050,Unknown
888163,Unknown
843385,Unknown
839609,Unknown
184135,Unknown
266491,Unknown
65632,Unknown
26863,Unknown
632732,Unknown
798425,Unknown
780621,Unknown
633299,Unknown
271379,Unknown
246231,Unknown
818911,Unknown
35935,Unknown
274967,Unknown
175504,Unknown
589752,Unknown
86522,Unknown
609241,Unknown
869542,Unknown
418277,Unknown
284956,Unknown
237711,Unknown
47999,Unknown
43807,Unknown
628270,Unknown
550741,Unknown
101274,Unknown
140471,Unknown
635224,Unknown
2398,Unknown
857878,Unknown
939765,Unknown
11882,Unknown
147124,Unknown
895908,Unknown
589251,Unknown
608105,Unknown
800568,Unknown
985370,Unknown
240172,Unknown
232632,Unknown
138129,Unknown
201514,Unknown
143001,Unknown
391352,Unknown
94047,Unknown
182358,Unknown
91439,Unknown
370994,Unknown
194267,Unknown
597183,Unknown
173860,Unknown
667324,Unknown
74054,Unknown
766020,Unknown
301389,Unknown
604511,Unknown
107408,Unknown
62783,Unknown
937640,Unknown
116855,Unknown
775212,Unknown
624973,Unknown
210377,Unknown
73098,Unknown
600510,Unknown
120603,Unknown
449129,Unknown
300948,Unknown
268031,Unknown
70530,Unknown
54429,Unknown
120177,Unknown
853797,Unknown
127138,Unknown
472995,Unknown
493821,Unknown
571728,Unknown
509745,Unknown
229231,Unknown
268207,Unknown
727748,Unknown
216500,Unknown
892466,Unknown
867913,Unknown
199367,Unknown
496177,Unknown
497860,Unknown
487175,Unknown
573789,Unknown
63925,Unknown
87781,Unknown
350384,Unknown
829031,Unknown
211409,Unknown
13104,Unknown
113126,Unknown
954635,Unknown
123054,Unknown
142499,Unknown
965904,Unknown
282062,Unknown
477717,Unknown
425222,Unknown
649944,Unknown
235323,Unknown
397000,Unknown
986917,Unknown
391278,Unknown
945683,Unknown
999329,Unknown
934277,Unknown
174338,Unknown
545912,Unknown
88220,Unknown
173080,Unknown
400897,Unknown
636398,Unknown
638748,Unknown
597048,Unknown
472957,Unknown
84596,Unknown
562014,Unknown
469434,Unknown
252922,Unknown
977032,Unknown
745071,Unknown
638578,Unknown
254206,Unknown
937354,Unknown
758832,Unknown
889978,Unknown
381440,Unknown
330581,Unknown
630099,Unknown
933612,Unknown
402432,Unknown
517772,Unknown
35839,Unknown
225733,Unknown
776979,Unknown
221937,Unknown
175416,Unknown
646696,Unknown
688072,Unknown
916513,Unknown
538692,Unknown
172943,Unknown
481676,Unknown
214608,Unknown
590942,Unknown
108361,Unknown
116067,Unknown
420390,Unknown
218306,Unknown
908160,Unknown
16642,Unknown
147851,Unknown
714511,Unknown
143779,Unknown
491768,Unknown
390190,Unknown
718553,Unknown
490125,Unknown
11452,Unknown
98927,Unknown
23830,Unknown
322347,Unknown
99487,Unknown
174752,Unknown
150760,Unknown
300755,Unknown
318978,Unknown
447037,Unknown
494205,Unknown
375520,Unknown
550537,Unknown
372905,Unknown
116842,Unknown
314341,Unknown
342790,Unknown
16227,Unknown
706934,Unknown
146849,Unknown
139063,Unknown
289399,Unknown
108890,Unknown
92407,Unknown
740728,Unknown
803995,Unknown
326729,Unknown
188339,Unknown
670698,Unknown
736766,Unknown
423547,Unknown
276714,Unknown
708509,Unknown
206597,Unknown
909161,Unknown
149072,Unknown
962327,Unknown
819538,Unknown
889340,Unknown
802628,Unknown
377265,Unknown
154281,Unknown
699725,Unknown
911956,Unknown
53096,Unknown
805603,Unknown
795656,Unknown
339482,Unknown
200487,Unknown
5440,Unknown
865688,Unknown
981947,Unknown
226983,Unknown
724160,Unknown
575940,Unknown
851077,Unknown
689311,Unknown
26097,Unknown
418385,Unknown
614162,Unknown
968138,Unknown
180410,Unknown
176795,Unknown
581410,Unknown
862686,Unknown
597692,Unknown
432133,Unknown
925670,Unknown
786158,Unknown
414615,Unknown
951230,Unknown
645918,Unknown
419179,Unknown
783289,Unknown
761231,Unknown
362503,Unknown
852129,Unknown
96643,Unknown
432478,Unknown
81717,Unknown
620519,Unknown
736501,Unknown
419875,Unknown
625357,Unknown
607188,Unknown
340947,Unknown
111977,Unknown
801431,Unknown
730152,Unknown
902909,Unknown
697666,Unknown
998579,Unknown
446524,Unknown
802806,Unknown
580124,Unknown
861131,Unknown
315874,Unknown
607150,Unknown
918182,Unknown
325659,Unknown
247026,Unknown
405747,Unknown
967976,Unknown
591053,Unknown
403949,Unknown
780655,Unknown
542627,Unknown
47782,Unknown
208169,Unknown
749246,Unknown
7454,Unknown
825043,Unknown
275674,Unknown
736251,Unknown
396655,Unknown
53274,Unknown
565657,Unknown
308665,Unknown
214841,Unknown
573255,Unknown
